Model,Track ID,Text,Genre,True Labels,Top Predictions
Context BERT,10381,Title: Baron in the Trees. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.551); experimental (0.448); folk (0.397); rock (0.145); noise (0.110)
Context BERT,10382,Title: New Dish Rag. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,experimental (0.476); instrumental (0.461); folk (0.339); rock (0.152); electronic (0.113)
Context BERT,10383,Title: Graceless Lady. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.496); experimental (0.482); folk (0.350); rock (0.156); noise (0.108)
Context BERT,10384,Title: Blood Mumble. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.490); experimental (0.462); folk (0.372); rock (0.156); noise (0.112)
Context BERT,10385,Title: Curee. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,experimental (0.482); instrumental (0.475); folk (0.359); rock (0.143); noise (0.103)
Context BERT,10386,Title: The Birds &amp; The Herds. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.537); experimental (0.461); folk (0.386); rock (0.131); noise (0.121)
Context BERT,10387,Title: Tease it Like a Cop. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,experimental (0.470); instrumental (0.458); folk (0.406); rock (0.160); noise (0.117)
Context BERT,10388,Title: Night Lighter. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.498); experimental (0.473); folk (0.381); rock (0.149); noise (0.114)
Context BERT,10389,Title: Terrapin (oh! syd). Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.493); experimental (0.451); folk (0.303); rock (0.134); electronic (0.116)
Context BERT,10993,Title: Oh Country (Skin &amp; Bones). Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.470); experimental (0.464); folk (0.322); rock (0.134); noise (0.104)
Context BERT,15094,Title: banjo bird. Artist: guitarrorisms. Album: recordings without the frogs from the pond. Genre: Experimental,Experimental,"experimental, improvisation, jazz",experimental (0.632); instrumental (0.275); folk (0.216); noise (0.195); electronic (0.148)
Context BERT,39316,Title: Hart Island. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",experimental (0.713); instrumental (0.199); folk (0.194); noise (0.192); rock (0.171)
Context BERT,39317,Title: Brave New World. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",experimental (0.711); folk (0.196); noise (0.191); instrumental (0.186); rock (0.176)
Context BERT,39318,Title: A Dream of Heaven in a Terminal Ward. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",experimental (0.680); instrumental (0.210); folk (0.208); noise (0.200); rock (0.179)
Context BERT,42018,Title: La boite a track (Spain). Artist: Electronischebasisgeluide. Album: La Boite A Sons - Contest Contributions. Genre: Electronic,Electronic,"electronic, electronica, compilation",electronica (0.733); electronic (0.680); compilation (0.495); techno (0.233); idm (0.197)
Context BERT,51301,Title: Skeletons Fighting Over A Pickled Herring. Artist: John Badger & The Moustache Riders of Doom. Album: The Hanging Man. Genre: Experimental,Experimental,"experimental, electronic",experimental (0.622); instrumental (0.304); folk (0.228); rock (0.184); noise (0.184)
Context BERT,51305,Title: A Nation of Culls & Weeds. Artist: John Badger & The Moustache Riders of Doom. Album: The Hanging Man. Genre: Experimental,Experimental,"experimental, electronic",experimental (0.655); instrumental (0.302); folk (0.255); noise (0.193); rock (0.163)
Context BERT,57271,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.749); noise (0.220); folk (0.214); rock (0.163); electronic (0.142)
Context BERT,57272,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.749); noise (0.220); folk (0.214); rock (0.163); electronic (0.142)
Context BERT,57273,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.749); noise (0.220); folk (0.214); rock (0.163); electronic (0.142)
