track_id,split,text,genre,labels
1929,training,Title: Buzz Chant. Artist: U.S. Girls. Album: Spleencoffin presents: Ladyz in Noyz. Genre: Experimental,Experimental,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13929,training,Title: Home On The Range. Artist: Old Town School Of Folk Music (Various). Album: Old Town School of Folk Music:  Volumes Two And Three. Genre: Folk,Folk,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
13930,training,Title: John Henry. Artist: Foghorn Stringband. Album: Old Town School of Folk Music:  Volumes Two And Three. Genre: Folk,Folk,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
18124,training,Title: Dirty Indie Sound. Artist: Yoko Absorbing. Album: Vinyl. Genre: Experimental,Experimental,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24216,training,Title: Bleached Beach. Artist: Noveller. Album: Live @ ISSUE (1/14/2010). Genre: Experimental,Experimental,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24217,training,Title: Redgrave. Artist: Noveller. Album: Live @ ISSUE (1/14/2010). Genre: Experimental,Experimental,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24218,training,Title: Under the Color Cave. Artist: Noveller. Album: Live @ ISSUE (1/14/2010). Genre: Experimental,Experimental,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27673,training,Title: Marche pour la cérémonie turque. Artist: Bacalao. Album: Beats & Boucles Baroques. Genre: Electronic,Electronic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29738,training,Title: Just Say Booger (Brody and the Booger Brigade). Artist: Brody. Album: Silly Songs. Genre: Experimental,Experimental,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29739,training,Title: Big Blue Day. Artist: Uncle Neptune. Album: Silly Songs. Genre: Experimental,Experimental,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
